area,population
"Lake and Peninsula Borough, Alaska","1,476"
"Matanuska-Susitna Borough, Alaska","107,081"
"Nome Census Area, Alaska","10,046"
"North Slope Borough, Alaska","11,031"
"Northwest Arctic Borough, Alaska","7,793"
"Petersburg Borough, Alaska","3,398"
"Prince of Wales-Hyder Census Area, Alaska","5,753"
"Sitka City and Borough, Alaska","8,458"
"Skagway Municipality, Alaska","1,240"
"Southeast Fairbanks Census Area, Alaska","6,808"
"Wrangell City and Borough, Alaska","2,127"
"Yakutat City and Borough, Alaska",662
"Yukon-Koyukuk Census Area, Alaska","5,343"
"Apache County, Arizona","66,021"
"Cochise County, Arizona","125,447"
"Coconino County, Arizona","145,101"
"Gila County, Arizona","53,272"
"Graham County, Arizona","38,533"
"Greenlee County, Arizona","9,563"
"La Paz County, Arizona","16,557"
"Maricopa County, Arizona","4,420,568"
"Mohave County, Arizona","213,267"
"Navajo County, Arizona","106,717"
"Pima County, Arizona","1,043,433"
"Pinal County, Arizona","425,264"
"Santa Cruz County, Arizona","47,669"
"Yavapai County, Arizona","236,209"
"Yuma County, Arizona","203,881"
"Arkansas County, Arkansas","17,149"
"Ashley County, Arkansas","19,062"
"Baxter County, Arkansas","41,627"
"Benton County, Arkansas","284,333"
"Boone County, Arkansas","37,373"
"Bradley County, Arkansas","10,545"
"Calhoun County, Arkansas","4,739"
"Carroll County, Arkansas","28,260"
"Chicot County, Arkansas","10,208"
"Clark County, Arkansas","21,446"
"Clay County, Arkansas","14,552"
"Cleburne County, Arkansas","24,711"
"Cleveland County, Arkansas","7,550"
"Columbia County, Arkansas","22,801"
"Conway County, Arkansas","20,715"
"Craighead County, Arkansas","111,231"
"Crawford County, Arkansas","60,133"
"Crittenden County, Arkansas","48,163"
"Cross County, Arkansas","16,833"
"Dallas County, Arkansas","6,482"
"Desha County, Arkansas","11,395"
"Drew County, Arkansas","17,350"
"Faulkner County, Arkansas","123,498"
"Franklin County, Arkansas","17,097"
"Fulton County, Arkansas","12,075"
"Garland County, Arkansas","100,180"
"Grant County, Arkansas","17,958"
"Greene County, Arkansas","45,736"
"Hempstead County, Arkansas","20,065"
"Hot Spring County, Arkansas","33,040"
"Howard County, Arkansas","12,785"
"Independence County, Arkansas","37,938"
"Izard County, Arkansas","13,577"
"Jackson County, Arkansas","16,755"
"Jefferson County, Arkansas","67,260"
"Johnson County, Arkansas","25,749"
"Lafayette County, Arkansas","6,308"
"Lawrence County, Arkansas","16,216"
"Lee County, Arkansas","8,600"
"Lincoln County, Arkansas","12,941"
"Little River County, Arkansas","12,026"
"Logan County, Arkansas","21,131"
"Lonoke County, Arkansas","74,015"
"Madison County, Arkansas","16,521"
"Marion County, Arkansas","16,826"
"Miller County, Arkansas","42,600"
"Mississippi County, Arkansas","40,685"
"Monroe County, Arkansas","6,799"
"Montgomery County, Arkansas","8,484"
"Nevada County, Arkansas","8,310"
"Newton County, Arkansas","7,225"
"Ouachita County, Arkansas","22,650"
"Perry County, Arkansas","10,019"
"Phillips County, Arkansas","16,568"
"Pike County, Arkansas","10,171"
"Poinsett County, Arkansas","22,965"
"Polk County, Arkansas","19,221"
"Pope County, Arkansas","63,381"
"Prairie County, Arkansas","8,282"
"Pulaski County, Arkansas","399,125"
"Randolph County, Arkansas","18,571"
"St Francis County, Arkansas","23,090"
"Saline County, Arkansas","123,416"
"Scott County, Arkansas","9,836"
"Searcy County, Arkansas","7,828"
"Sebastian County, Arkansas","127,799"
"Sevier County, Arkansas","15,839"
"Sharp County, Arkansas","17,271"
"Stone County, Arkansas","12,359"
"Union County, Arkansas","39,054"
"Van Buren County, Arkansas","15,796"
"Washington County, Arkansas","245,871"
"White County, Arkansas","76,822"
"Woodruff County, Arkansas","6,269"
"Yell County, Arkansas","20,263"
"Alameda County, California","1,682,353"
"Alpine County, California","1,204"
"Amador County, California","40,474"
"Butte County, California","211,632"
"Calaveras County, California","45,292"
"Colusa County, California","21,839"
"Contra Costa County, California","1,165,927"
"Del Norte County, California","27,743"
"El Dorado County, California","191,185"
"Fresno County, California","1,008,654"
"Glenn County, California","28,917"
"Humboldt County, California","136,463"
"Imperial County, California","179,702"
"Inyo County, California","19,016"
"Kern County, California","909,235"
"Kings County, California","152,486"
"Lake County, California","68,163"
"Lassen County, California","32,730"
"Los Angeles County, California","10,014,009"
"Madera County, California","156,255"
"Marin County, California","262,321"
"Mariposa County, California","17,131"
"Mendocino County, California","91,601"
"Merced County, California","281,202"
"Modoc County, California","8,700"
"Mono County, California","13,195"
"Monterey County, California","439,035"
"Napa County, California","138,019"
"Nevada County, California","102,241"
"Orange County, California","3,186,989"
"Placer County, California","404,739"
"Plumas County, California","19,790"
"Riverside County, California","2,418,185"
"Sacramento County, California","1,585,055"
"San Benito County, California","64,209"
"San Bernardino County, California","2,181,654"
"San Diego County, California","3,298,634"
"San Francisco County, California","873,965"
"San Joaquin County, California","779,233"
"San Luis Obispo County, California","282,424"
"San Mateo County, California","764,442"
"Santa Barbara County, California","448,229"
"Santa Clara County, California","1,936,259"
"Santa Cruz County, California","270,861"
"Shasta County, California","182,155"
"Sierra County, California","3,236"
"Siskiyou County, California","44,076"
"Solano County, California","453,491"
"Sonoma County, California","488,863"
"Stanislaus County, California","552,878"
"Sutter County, California","99,633"
"Tehama County, California","65,829"
"Trinity County, California","16,112"
"Tulare County, California","473,117"
"Tuolumne County, California","55,620"
"Ventura County, California","843,843"
"Yolo County, California","216,403"
"Yuba County, California","81,575"
"Adams County, Colorado","519,572"
"Alamosa County, Colorado","16,376"
"Arapahoe County, Colorado","655,070"
"Archuleta County, Colorado","13,359"
"Baca County, Colorado","3,506"
"Bent County, Colorado","5,650"
"Boulder County, Colorado","330,758"
"Broomfield County, Colorado","74,112"
"Chaffee County, Colorado","19,476"
"Cheyenne County, Colorado","1,748"
"Clear Creek County, Colorado","9,397"
"Conejos County, Colorado","7,461"
"Costilla County, Colorado","3,499"
"Crowley County, Colorado","5,922"
"Custer County, Colorado","4,704"
"Delta County, Colorado","31,196"
"Denver County, Colorado","715,522"
"Dolores County, Colorado","2,326"
"Douglas County, Colorado","357,978"
"Eagle County, Colorado","55,731"
"Elbert County, Colorado","26,062"
"El Paso County, Colorado","730,395"
"Fremont County, Colorado","48,939"
"Garfield County, Colorado","61,685"
"Gilpin County, Colorado","5,808"
"Grand County, Colorado","15,717"
"Gunnison County, Colorado","16,918"
"Hinsdale County, Colorado",788
"Huerfano County, Colorado","6,820"
"Jackson County, Colorado","1,379"
"Jefferson County, Colorado","582,910"
"Kiowa County, Colorado","1,446"
"Kit Carson County, Colorado","7,087"
"Lake County, Colorado","7,436"
"La Plata County, Colorado","55,638"
"Larimer County, Colorado","359,066"
"Las Animas County, Colorado","14,555"
"Lincoln County, Colorado","5,675"
"Logan County, Colorado","21,528"
"Mesa County, Colorado","155,703"
"Mineral County, Colorado",865
"Moffat County, Colorado","13,292"
"Montezuma County, Colorado","25,849"
"Montrose County, Colorado","42,679"
"Morgan County, Colorado","29,111"
"Otero County, Colorado","18,690"
"Ouray County, Colorado","4,874"
"Park County, Colorado","17,390"
"Phillips County, Colorado","4,530"
"Pitkin County, Colorado","17,358"
"Prowers County, Colorado","11,999"
"Pueblo County, Colorado","168,162"
"Rio Blanco County, Colorado","6,529"
"Rio Grande County, Colorado","11,539"
"Routt County, Colorado","24,829"
"Saguache County, Colorado","6,368"
"San Juan County, Colorado",705
"San Miguel County, Colorado","8,072"
"Sedgwick County, Colorado","2,404"
"Summit County, Colorado","31,055"
"Teller County, Colorado","24,710"
"Washington County, Colorado","4,817"
"Weld County, Colorado","328,981"
"Yuma County, Colorado","9,988"
"Fairfield County, Connecticut","957,419"
"Hartford County, Connecticut","899,498"
"Litchfield County, Connecticut","185,186"
"Middlesex County, Connecticut","164,245"
"New Haven County, Connecticut","864,835"
"New London County, Connecticut","268,555"
"Tolland County, Connecticut","149,788"
"Windham County, Connecticut","116,418"
"Kent County, Delaware","181,851"
"New Castle County, Delaware","570,719"
"Sussex County, Delaware","237,378"
"District of Columbia, District of Columbia","689,545"
"Alachua County, Florida","278,468"
"Baker County, Florida","28,259"
"Bay County, Florida","175,216"
"Bradford County, Florida","28,303"
"Brevard County, Florida","606,612"
"Broward County, Florida","1,944,375"
"Calhoun County, Florida","13,648"
"Charlotte County, Florida","186,847"
"Citrus County, Florida","153,843"
"Clay County, Florida","218,245"
"Collier County, Florida","375,752"
"Columbia County, Florida","69,698"
"DeSoto County, Florida","33,976"
"Dixie County, Florida","16,759"
"Duval County, Florida","995,567"
"Escambia County, Florida","321,905"
"Flagler County, Florida","115,378"
"Franklin County, Florida","12,451"
"Gadsden County, Florida","43,826"
"Gilchrist County, Florida","17,864"
"Glades County, Florida","12,126"
"Gulf County, Florida","14,192"
"Hamilton County, Florida","14,004"
"Hardee County, Florida","25,327"
"Hendry County, Florida","39,619"
"Hernando County, Florida","194,515"
"Highlands County, Florida","101,235"
"Hillsborough County, Florida","1,459,762"
"Holmes County, Florida","19,653"
"Indian River County, Florida","159,788"
"Jackson County, Florida","47,319"
"Jefferson County, Florida","14,510"
"Lafayette County, Florida","8,226"
"Lake County, Florida","383,956"
"Lee County, Florida","760,822"
"Leon County, Florida","292,198"
"Levy County, Florida","42,915"
"Liberty County, Florida","7,974"
"Madison County, Florida","17,968"
"Manatee County, Florida","399,710"
"Marion County, Florida","375,908"
"Martin County, Florida","158,431"
"Miami-Dade County, Florida","2,701,767"
"Monroe County, Florida","82,874"
"Nassau County, Florida","90,352"
"Okaloosa County, Florida","211,668"
"Okeechobee County, Florida","39,644"
"Orange County, Florida","1,429,908"
"Osceola County, Florida","388,656"
"Palm Beach County, Florida","1,492,191"
"Pasco County, Florida","561,891"
"Pinellas County, Florida","959,107"
"Polk County, Florida","725,046"
"Putnam County, Florida","73,321"
"St Johns County, Florida","273,425"
"St Lucie County, Florida","329,226"
"Santa Rosa County, Florida","188,000"
"Sarasota County, Florida","434,006"
"Seminole County, Florida","470,856"
"Sumter County, Florida","129,752"
"Suwannee County, Florida","43,474"
"Taylor County, Florida","21,796"
"Union County, Florida","16,147"
"Volusia County, Florida","553,543"
"Wakulla County, Florida","33,764"
"Walton County, Florida","75,305"
"Washington County, Florida","25,318"
"Appling County, Georgia","18,444"
"Atkinson County, Georgia","8,286"
"Bacon County, Georgia","11,140"
"Baker County, Georgia","2,876"
"Baldwin County, Georgia","43,799"
"Banks County, Georgia","18,035"
"Barrow County, Georgia","83,505"
"Bartow County, Georgia","108,901"
"Ben Hill County, Georgia","17,194"
"Berrien County, Georgia","18,160"
"Bibb County, Georgia","157,346"
"Bleckley County, Georgia","12,583"
"Brantley County, Georgia","18,021"
"Brooks County, Georgia","16,301"
"Bryan County, Georgia","44,738"
"Bulloch County, Georgia","81,099"
"Burke County, Georgia","24,596"
"Butts County, Georgia","25,434"
"Calhoun County, Georgia","5,573"
"Camden County, Georgia","54,768"
"Candler County, Georgia","10,981"
"Carroll County, Georgia","119,148"
"Catoosa County, Georgia","67,872"
"Charlton County, Georgia","12,518"
"Chatham County, Georgia","295,291"
"Chattahoochee County, Georgia","9,565"
"Chattooga County, Georgia","24,965"
"Cherokee County, Georgia","266,620"
"Clarke County, Georgia","128,671"
"Clay County, Georgia","2,848"
"Clayton County, Georgia","297,595"
"Clinch County, Georgia","6,749"
"Cobb County, Georgia","766,149"
"Coffee County, Georgia","43,092"
"Colquitt County, Georgia","45,898"
"Columbia County, Georgia","156,010"
"Cook County, Georgia","17,229"
"Coweta County, Georgia","146,158"
"Crawford County, Georgia","12,130"
"Crisp County, Georgia","20,128"
"Dade County, Georgia","16,251"
"Dawson County, Georgia","26,798"
"Decatur County, Georgia","29,367"
"DeKalb County, Georgia","764,382"
"Dodge County, Georgia","19,925"
"Dooly County, Georgia","11,208"
"Dougherty County, Georgia","85,790"
"Douglas County, Georgia","144,237"
"Early County, Georgia","10,854"
"Echols County, Georgia","3,697"
"Effingham County, Georgia","64,769"
"Elbert County, Georgia","19,637"
"Emanuel County, Georgia","22,768"
"Evans County, Georgia","10,774"
"Fannin County, Georgia","25,319"
"Fayette County, Georgia","119,194"
"Floyd County, Georgia","98,584"
"Forsyth County, Georgia","251,283"
"Franklin County, Georgia","23,424"
"Fulton County, Georgia","1,066,710"
"Gilmer County, Georgia","31,353"
"Glascock County, Georgia","2,884"
"Glynn County, Georgia","84,499"
"Gordon County, Georgia","57,544"
"Grady County, Georgia","26,236"
"Greene County, Georgia","18,915"
"Gwinnett County, Georgia","957,062"
"Habersham County, Georgia","46,031"
"Hall County, Georgia","203,136"
"Hancock County, Georgia","8,735"
"Haralson County, Georgia","29,919"
"Harris County, Georgia","34,668"
"Hart County, Georgia","25,828"
"Heard County, Georgia","11,412"
"Henry County, Georgia","240,712"
"Houston County, Georgia","163,633"
"Irwin County, Georgia","9,666"
"Jackson County, Georgia","75,907"
"Jasper County, Georgia","14,588"
"Jeff Davis County, Georgia","14,779"
"Jefferson County, Georgia","15,709"
"Jenkins County, Georgia","8,674"
"Johnson County, Georgia","9,189"
"Jones County, Georgia","28,347"
"Lamar County, Georgia","18,500"
"Lanier County, Georgia","9,877"
"Laurens County, Georgia","49,570"
"Lee County, Georgia","33,163"
"Liberty County, Georgia","65,256"
"Lincoln County, Georgia","7,690"
"Long County, Georgia","16,168"
"Lowndes County, Georgia","118,251"
"Lumpkin County, Georgia","33,488"
"McDuffie County, Georgia","21,632"
"McIntosh County, Georgia","10,975"
"Macon County, Georgia","12,082"
"Madison County, Georgia","30,120"
"Marion County, Georgia","7,498"
"Meriwether County, Georgia","20,613"
"Miller County, Georgia","6,000"
"Mitchell County, Georgia","21,755"
"Monroe County, Georgia","27,957"
"Montgomery County, Georgia","8,610"
"Morgan County, Georgia","20,097"
"Murray County, Georgia","39,973"
"Muscogee County, Georgia","206,922"
"Newton County, Georgia","112,483"
"Oconee County, Georgia","41,799"
"Oglethorpe County, Georgia","14,825"
"Paulding County, Georgia","168,661"
"Peach County, Georgia","27,981"
"Pickens County, Georgia","33,216"
"Pierce County, Georgia","19,716"
"Pike County, Georgia","18,889"
"Polk County, Georgia","42,853"
"Pulaski County, Georgia","9,855"
"Putnam County, Georgia","22,047"
"Quitman County, Georgia","2,235"
"Rabun County, Georgia","16,883"
"Randolph County, Georgia","6,425"
"Richmond County, Georgia","206,607"
"Rockdale County, Georgia","93,570"
"Schley County, Georgia","4,547"
"Screven County, Georgia","14,067"
"Seminole County, Georgia","9,147"
"Spalding County, Georgia","67,306"
"Stephens County, Georgia","26,784"
"Stewart County, Georgia","5,314"
"Sumter County, Georgia","29,616"
"Talbot County, Georgia","5,733"
"Taliaferro County, Georgia","1,559"
"Tattnall County, Georgia","22,842"
"Taylor County, Georgia","7,816"
"Telfair County, Georgia","12,477"
"Terrell County, Georgia","9,185"
"Thomas County, Georgia","45,798"
"Tift County, Georgia","41,344"
"Toombs County, Georgia","27,030"
"Towns County, Georgia","12,493"
"Treutlen County, Georgia","6,406"
"Troup County, Georgia","69,426"
"Turner County, Georgia","9,006"
"Twiggs County, Georgia","8,022"
"Union County, Georgia","24,632"
"Upson County, Georgia","27,700"
"Walker County, Georgia","67,654"
"Walton County, Georgia","96,673"
"Ware County, Georgia","36,251"
"Warren County, Georgia","5,215"
"Washington County, Georgia","19,988"
"Wayne County, Georgia","30,144"
"Webster County, Georgia","2,348"
"Wheeler County, Georgia","7,471"
"White County, Georgia","28,003"
"Whitfield County, Georgia","102,864"
"Wilcox County, Georgia","8,766"
"Wilkes County, Georgia","9,565"
"Wilkinson County, Georgia","8,877"
"Worth County, Georgia","20,784"
"Hawaii County, Hawaii","200,629"
"Honolulu County, Hawaii","1,016,508"
"Kalawao County, Hawaii",82
"Kauai County, Hawaii","73,298"
"Maui County, Hawaii","164,754"
"Ada County, Idaho","494,967"
"Adams County, Idaho","4,379"
"Bannock County, Idaho","87,018"
"Bear Lake County, Idaho","6,372"
"Benewah County, Idaho","9,530"
"Bingham County, Idaho","47,992"
"Blaine County, Idaho","24,272"
"Boise County, Idaho","7,610"
"Bonner County, Idaho","47,110"
"Bonneville County, Idaho","123,964"
"Boundary County, Idaho","12,056"
"Butte County, Idaho","2,574"
"Camas County, Idaho","1,077"
"Canyon County, Idaho","231,105"
"Caribou County, Idaho","7,027"
"Cassia County, Idaho","24,655"
"Clark County, Idaho",790
"Clearwater County, Idaho","8,734"
"Custer County, Idaho","4,275"
"Elmore County, Idaho","28,666"
"Franklin County, Idaho","14,194"
"Fremont County, Idaho","13,388"
"Gem County, Idaho","19,123"
"Gooding County, Idaho","15,598"
"Idaho County, Idaho","16,541"
"Jefferson County, Idaho","30,891"
"Jerome County, Idaho","24,237"
"Kootenai County, Idaho","171,362"
"Latah County, Idaho","39,517"
"Lemhi County, Idaho","7,974"
"Lewis County, Idaho","3,533"
"Lincoln County, Idaho","5,127"
"Madison County, Idaho","52,913"
"Minidoka County, Idaho","21,613"
"Nez Perce County, Idaho","42,090"
"Oneida County, Idaho","4,564"
"Owyhee County, Idaho","11,913"
"Payette County, Idaho","25,386"
"Power County, Idaho","7,878"
"Shoshone County, Idaho","13,169"
"Teton County, Idaho","11,630"
"Twin Falls County, Idaho","90,046"
"Valley County, Idaho","11,746"
"Washington County, Idaho","10,500"
"Adams County, Illinois","65,737"
"Alexander County, Illinois","5,240"
"Bond County, Illinois","16,725"
"Boone County, Illinois","53,448"
"Brown County, Illinois","6,244"
"Bureau County, Illinois","33,244"
"Calhoun County, Illinois","4,437"
"Carroll County, Illinois","15,702"
"Cass County, Illinois","13,042"
"Champaign County, Illinois","205,865"
"Christian County, Illinois","34,032"
"Clark County, Illinois","15,455"
"Clay County, Illinois","13,288"
"Clinton County, Illinois","36,899"
"Coles County, Illinois","46,863"
"Cook County, Illinois","5,275,541"
"Crawford County, Illinois","18,679"
"Cumberland County, Illinois","10,450"
"DeKalb County, Illinois","100,420"
"De Witt County, Illinois","15,516"
"Douglas County, Illinois","19,740"
"DuPage County, Illinois","932,877"
"Edgar County, Illinois","16,866"
"Edwards County, Illinois","6,245"
"Effingham County, Illinois","34,668"
"Fayette County, Illinois","21,488"
"Ford County, Illinois","13,534"
"Franklin County, Illinois","37,804"
"Fulton County, Illinois","33,609"
"Gallatin County, Illinois","4,946"
"Greene County, Illinois","11,985"
"Grundy County, Illinois","52,533"
"Hamilton County, Illinois","7,993"
"Hancock County, Illinois","17,620"
"Hardin County, Illinois","3,649"
"Henderson County, Illinois","6,387"
"Henry County, Illinois","49,284"
"Iroquois County, Illinois","27,077"
"Jackson County, Illinois","52,974"
"Jasper County, Illinois","9,287"
"Jefferson County, Illinois","37,113"
"Jersey County, Illinois","21,512"
"Jo Daviess County, Illinois","22,035"
"Johnson County, Illinois","13,308"
"Kane County, Illinois","516,522"
"Kankakee County, Illinois","107,502"
"Kendall County, Illinois","131,869"
"Knox County, Illinois","49,967"
"Lake County, Illinois","714,342"
"LaSalle County, Illinois","109,658"
"Lawrence County, Illinois","15,280"
"Lee County, Illinois","34,145"
"Livingston County, Illinois","35,815"
"Logan County, Illinois","27,987"
"McDonough County, Illinois","27,238"
"McHenry County, Illinois","310,229"
"McLean County, Illinois","170,954"
"Macon County, Illinois","103,998"
"Macoupin County, Illinois","44,967"
"Madison County, Illinois","265,859"
"Marion County, Illinois","37,729"
"Marshall County, Illinois","11,742"
"Mason County, Illinois","13,086"
"Massac County, Illinois","14,169"
"Menard County, Illinois","12,297"
"Mercer County, Illinois","15,699"
"Monroe County, Illinois","34,962"
"Montgomery County, Illinois","28,288"
"Morgan County, Illinois","32,915"
"Moultrie County, Illinois","14,526"
"Ogle County, Illinois","51,788"
"Peoria County, Illinois","181,830"
"Perry County, Illinois","20,945"
"Piatt County, Illinois","16,673"
"Pike County, Illinois","14,739"
"Pope County, Illinois","3,763"
"Pulaski County, Illinois","5,193"
"Putnam County, Illinois","5,637"
"Randolph County, Illinois","30,163"
"Richland County, Illinois","15,813"
"Rock Island County, Illinois","144,672"
"St Clair County, Illinois","257,400"
"Saline County, Illinois","23,768"
"Sangamon County, Illinois","196,343"
"Schuyler County, Illinois","6,902"
"Scott County, Illinois","4,949"
"Shelby County, Illinois","20,990"
"Stark County, Illinois","5,400"
"Stephenson County, Illinois","44,630"
"Tazewell County, Illinois","131,343"
"Union County, Illinois","17,244"
"Vermilion County, Illinois","74,188"
"Wabash County, Illinois","11,361"
"Warren County, Illinois","16,835"
"Washington County, Illinois","13,761"
"Wayne County, Illinois","16,179"
"White County, Illinois","13,877"
"Whiteside County, Illinois","55,691"
"Will County, Illinois","696,355"
"Williamson County, Illinois","67,153"
"Winnebago County, Illinois","285,350"
"Woodford County, Illinois","38,467"
"Adams County, Indiana","35,809"
"Allen County, Indiana","385,410"
"Bartholomew County, Indiana","82,208"
"Benton County, Indiana","8,719"
"Blackford County, Indiana","12,112"
"Boone County, Indiana","70,812"
"Brown County, Indiana","15,475"
"Carroll County, Indiana","20,306"
"Cass County, Indiana","37,870"
"Clark County, Indiana","121,093"
"Clay County, Indiana","26,466"
"Clinton County, Indiana","33,190"
"Crawford County, Indiana","10,526"
"Daviess County, Indiana","33,381"
"Dearborn County, Indiana","50,679"
"Decatur County, Indiana","26,472"
"DeKalb County, Indiana","43,265"
"Delaware County, Indiana","111,903"
"Dubois County, Indiana","43,637"
"Elkhart County, Indiana","207,047"
"Fayette County, Indiana","23,398"
"Floyd County, Indiana","80,484"
"Fountain County, Indiana","16,479"
"Franklin County, Indiana","22,785"
"Fulton County, Indiana","20,480"
"Gibson County, Indiana","33,011"
"Grant County, Indiana","66,674"
"Greene County, Indiana","30,803"
"Hamilton County, Indiana","347,467"
"Hancock County, Indiana","79,840"
"Harrison County, Indiana","39,654"
"Hendricks County, Indiana","174,788"
"Henry County, Indiana","48,914"
"Howard County, Indiana","83,658"
"Huntington County, Indiana","36,662"
"Jackson County, Indiana","46,428"
"Jasper County, Indiana","32,918"
"Jay County, Indiana","20,478"
"Jefferson County, Indiana","33,147"
"Jennings County, Indiana","27,613"
"Johnson County, Indiana","161,765"
"Knox County, Indiana","36,282"
"Kosciusko County, Indiana","80,240"
"LaGrange County, Indiana","40,446"
"Lake County, Indiana","498,700"
"LaPorte County, Indiana","112,417"
"Lawrence County, Indiana","45,011"
"Madison County, Indiana","130,129"
"Marion County, Indiana","977,203"
"Marshall County, Indiana","46,095"
"Martin County, Indiana","9,812"
"Miami County, Indiana","35,962"
"Monroe County, Indiana","139,718"
"Montgomery County, Indiana","37,936"
"Morgan County, Indiana","71,780"
"Newton County, Indiana","13,830"
"Noble County, Indiana","47,457"
"Ohio County, Indiana","5,940"
"Orange County, Indiana","19,867"
"Owen County, Indiana","21,321"
"Parke County, Indiana","16,156"
"Perry County, Indiana","19,170"
"Pike County, Indiana","12,250"
"Porter County, Indiana","173,215"
"Posey County, Indiana","25,222"
"Pulaski County, Indiana","12,514"
"Putnam County, Indiana","36,726"
"Randolph County, Indiana","24,502"
"Ripley County, Indiana","28,995"
"Rush County, Indiana","16,752"
"St Joseph County, Indiana","272,912"
"Scott County, Indiana","24,384"
"Shelby County, Indiana","45,055"
"Spencer County, Indiana","19,810"
"Starke County, Indiana","23,371"
"Steuben County, Indiana","34,435"
"Sullivan County, Indiana","20,817"
"Switzerland County, Indiana","9,737"
"Tippecanoe County, Indiana","186,251"
"Tipton County, Indiana","15,359"
"Union County, Indiana","7,087"
"Vanderburgh County, Indiana","180,136"
"Vermillion County, Indiana","15,439"
"Vigo County, Indiana","106,153"
"Wabash County, Indiana","30,976"
"Warren County, Indiana","8,440"
"Warrick County, Indiana","63,898"
"Washington County, Indiana","28,182"
"Wayne County, Indiana","66,553"
"Wells County, Indiana","28,180"
"White County, Indiana","24,688"
"Whitley County, Indiana","34,191"
"Adair County, Iowa","7,496"
"Adams County, Iowa","3,704"
"Allamakee County, Iowa","14,061"
"Appanoose County, Iowa","12,317"
"Audubon County, Iowa","5,674"
"Benton County, Iowa","25,575"
"Black Hawk County, Iowa","131,144"
"Boone County, Iowa","26,715"
"Bremer County, Iowa","24,988"
"Buchanan County, Iowa","20,565"
"Buena Vista County, Iowa","20,823"
"Butler County, Iowa","14,334"
"Calhoun County, Iowa","9,927"
"Carroll County, Iowa","20,760"
"Cass County, Iowa","13,127"
"Cedar County, Iowa","18,505"
"Cerro Gordo County, Iowa","43,127"
"Cherokee County, Iowa","11,658"
"Chickasaw County, Iowa","12,012"
"Clarke County, Iowa","9,748"
"Clay County, Iowa","16,384"
"Clayton County, Iowa","17,043"
"Clinton County, Iowa","46,460"
"Crawford County, Iowa","16,525"
"Dallas County, Iowa","99,678"
"Davis County, Iowa","9,110"
"Decatur County, Iowa","7,645"
"Delaware County, Iowa","17,488"
"Des Moines County, Iowa","38,910"
"Dickinson County, Iowa","17,703"
